hts8,list,ch99_code
07032000,3,9903.88.03
07039000,3,9903.88.03
07041020,3,9903.88.03
07041040,3,9903.88.03
07041060,3,9903.88.03
07042000,4A,9903.88.15
07049020,3,9903.88.03
07049040,3,9903.88.03
07051120,4A,9903.88.15
07051140,4A,9903.88.15
07051920,4A,9903.88.15
07051940,4A,9903.88.15
07052100,4A,9903.88.15
07052900,4A,9903.88.15
07061005,3,9903.88.03
07061010,3,9903.88.03
07061020,3,9903.88.03
07061040,3,9903.88.03
07069020,3,9903.88.03
07069030,3,9903.88.03
07069040,3,9903.88.03
07070020,4A,9903.88.15
07070040,4A,9903.88.15
07070050,3,9903.88.03
07070060,4A,9903.88.15
07081020,3,9903.88.03
07081040,3,9903.88.03
07082010,4A,9903.88.15
07082020,3,9903.88.03
07082090,3,9903.88.03
07089005,4A,9903.88.15
07089015,3,9903.88.03
07089025,4A,9903.88.15
07089030,4A,9903.88.15
07089040,3,9903.88.03
07092010,4A,9903.88.15
07092090,4A,9903.88.15
07093020,4A,9903.88.15
07093040,4A,9903.88.15
07094020,3,9903.88.03
07094040,3,9903.88.03
07094060,3,9903.88.03
07095101,3,9903.88.03
07095205,3,9903.88.03
07095300,3,9903.88.03
07095400,3,9903.88.03
07095500,3,9903.88.03
07095600,3,9903.88.03
07095911,3,9903.88.03
07095991,3,9903.88.03
07096020,3,9903.88.03
07096040,3,9903.88.03
07097000,4A,9903.88.15
07099100,4A,9903.88.15
07099200,4A,9903.88.15
07099310,4A,9903.88.15
07099320,3,9903.88.03
07099330,4A,9903.88.15
07099905,3,9903.88.03
07099910,3,9903.88.03
07099914,3,9903.88.03
07099930,3,9903.88.03
07099945,3,9903.88.03
07099990,3,9903.88.03
07101000,3,9903.88.03
07102120,3,9903.88.03
07102140,3,9903.88.03
07102210,3,9903.88.03
07102215,3,9903.88.03
07102220,3,9903.88.03
07102225,3,9903.88.03
07102237,3,9903.88.03
07102240,3,9903.88.03
07102905,3,9903.88.03
07102915,4A,9903.88.15
07102925,3,9903.88.03
07102930,3,9903.88.03
07102940,3,9903.88.03
07103000,3,9903.88.03
07104000,3,9903.88.03
07108015,3,9903.88.03
07108020,3,9903.88.03
07108040,3,9903.88.03
07108045,3,9903.88.03
07108050,3,9903.88.03
07108060,4A,9903.88.15
07108065,3,9903.88.03
07108070,3,9903.88.03
07108085,4A,9903.88.15
07108093,3,9903.88.03
07108097,3,9903.88.03
07109011,3,9903.88.03
07109091,3,9903.88.03
07112018,4A,9903.88.15
07112028,4A,9903.88.15
07112038,4A,9903.88.15
07112040,4A,9903.88.15
07114000,3,9903.88.03
07115100,3,9903.88.03
07115910,3,9903.88.03
07115990,4A,9903.88.15
07119020,3,9903.88.03
07119030,4A,9903.88.15
07119050,3,9903.88.03
07119065,3,9903.88.03
07122020,3,9903.88.03
07122040,3,9903.88.03
07123110,3,9903.88.03
07123120,3,9903.88.03
07123200,3,9903.88.03
07123300,3,9903.88.03
07123410,3,9903.88.03
07123420,3,9903.88.03
07123911,3,9903.88.03
07123921,3,9903.88.03
07123940,3,9903.88.03
07129010,3,9903.88.03
07129015,3,9903.88.03
07129020,3,9903.88.03
07129030,3,9903.88.03
07129040,3,9903.88.03
07129060,3,9903.88.03
07129065,3,9903.88.03
07129070,3,9903.88.03
07129074,3,9903.88.03
07129078,3,9903.88.03
07129085,3,9903.88.03
07131010,3,9903.88.03
07131020,3,9903.88.03
07131040,3,9903.88.03
07132010,3,9903.88.03
07132020,3,9903.88.03
07133110,3,9903.88.03
07133120,3,9903.88.03
07133140,3,9903.88.03
07133210,3,9903.88.03
07133220,3,9903.88.03
07133310,3,9903.88.03
07133320,3,9903.88.03
07133340,3,9903.88.03
07133410,4A,9903.88.15
07133420,3,9903.88.03
07133440,3,9903.88.03
07133500,3,9903.88.03
07133911,3,9903.88.03
07133921,3,9903.88.03
07133941,3,9903.88.03
07134010,3,9903.88.03
07134020,3,9903.88.03
07135010,3,9903.88.03
07135020,3,9903.88.03
07136010,4A,9903.88.15
07136060,3,9903.88.03
07136080,3,9903.88.03
07139011,3,9903.88.03
07139050,3,9903.88.03
07139061,3,9903.88.03
07139081,3,9903.88.03
07141010,4A,9903.88.15
07141020,3,9903.88.03
07142010,3,9903.88.03
07142020,3,9903.88.03
07143010,3,9903.88.03
07143020,3,9903.88.03
07143050,4A,9903.88.15
07143060,3,9903.88.03
07144010,3,9903.88.03
07144020,3,9903.88.03
07144050,3,9903.88.03
07144060,3,9903.88.03
07145010,3,9903.88.03
07145020,3,9903.88.03
07145050,3,9903.88.03
07145060,3,9903.88.03
07149005,3,9903.88.03
07149039,3,9903.88.03
07149041,3,9903.88.03
07149042,3,9903.88.03
07149044,3,9903.88.03
07149046,3,9903.88.03
07149048,3,9903.88.03
07149051,3,9903.88.03
07149061,3,9903.88.03
08011100,3,9903.88.03
08011200,4A,9903.88.15
08011901,3,9903.88.03
08012100,4A,9903.88.15
08012200,4A,9903.88.15
08013100,3,9903.88.03
08013200,3,9903.88.03
08021100,3,9903.88.03
08021200,3,9903.88.03
08022100,4A,9903.88.15
08022200,3,9903.88.03
08023100,3,9903.88.03
08023200,3,9903.88.03
08024100,3,9903.88.03
08024200,3,9903.88.03
08025100,3,9903.88.03
08025200,3,9903.88.03
08026100,4A,9903.88.15
08026200,3,9903.88.03
08027010,4A,9903.88.15
08027020,4A,9903.88.15
08028010,4A,9903.88.15
08028020,3,9903.88.03
08029110,4A,9903.88.15
08029290,4A,9903.88.15
08029910,3,9903.88.03
08029915,3,9903.88.03
08029998,4A,9903.88.15
08031010,4A,9903.88.15
08031020,3,9903.88.03
08039000,3,9903.88.03
08041020,3,9903.88.03
08041040,3,9903.88.03
08041060,3,9903.88.03
08041080,3,9903.88.03
08042040,3,9903.88.03
08042060,3,9903.88.03
08042080,3,9903.88.03
08043020,3,9903.88.03
08043040,3,9903.88.03
08043060,3,9903.88.03
08044000,4A,9903.88.15
08045040,3,9903.88.03
08045060,3,9903.88.03
08045080,3,9903.88.03
08051000,3,9903.88.03
08052100,3,9903.88.03
08052200,3,9903.88.03
08052900,3,9903.88.03
08054040,4A,9903.88.15
08054060,4A,9903.88.15
08054080,4A,9903.88.15
08055020,4A,9903.88.15
08055030,4A,9903.88.15
08055040,4A,9903.88.15
08059001,4A,9903.88.15
08061020,4A,9903.88.15
08061040,4A,9903.88.15
08061060,4A,9903.88.15
08062010,3,9903.88.03
08062020,3,9903.88.03
08062090,3,9903.88.03
08071130,4A,9903.88.15
08071140,4A,9903.88.15
08071910,4A,9903.88.15
08071920,4A,9903.88.15
08071950,4A,9903.88.15
08071960,4A,9903.88.15
08071970,4A,9903.88.15
08071980,4A,9903.88.15
08072000,4A,9903.88.15
08081000,3,9903.88.03
08083020,3,9903.88.03
08083040,3,9903.88.03
08084020,3,9903.88.03
08084040,3,9903.88.03
08091000,4A,9903.88.15
08092100,4A,9903.88.15
08092900,3,9903.88.03
08093020,3,9903.88.03
08093040,3,9903.88.03
08094020,4A,9903.88.15
08094040,4A,9903.88.15
08101020,3,9903.88.03
08101040,3,9903.88.03
08102010,3,9903.88.03
08102090,4A,9903.88.15
08103000,3,9903.88.03
08104000,3,9903.88.03
08105000,4A,9903.88.15
08106000,4A,9903.88.15
08107000,3,9903.88.03
08109027,3,9903.88.03
08109046,3,9903.88.03
08111000,3,9903.88.03
08112020,3,9903.88.03
08112040,3,9903.88.03
08119010,3,9903.88.03
08119020,3,9903.88.03
08119022,3,9903.88.03
08119025,3,9903.88.03
08119030,3,9903.88.03
08119035,3,9903.88.03
08119040,3,9903.88.03
08119050,3,9903.88.03
08119052,3,9903.88.03
08119055,3,9903.88.03
08119080,3,9903.88.03
08121000,4A,9903.88.15
08129010,3,9903.88.03
08129020,3,9903.88.03
08129030,3,9903.88.03
08129040,3,9903.88.03
08129050,3,9903.88.03
08129090,3,9903.88.03
08131000,3,9903.88.03
